variant,selected_minADE6,MR,b-minFDE6,minADE1,minADE6,minFDE1,minFDE6,source,evaluation_basis
Baseline SHARP,0.752339,0.192652,2.064007,1.886442,0.752339,4.672195,1.434819,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Confidence-gated memory,0.755349,0.194413,2.067328,1.876097,0.755349,4.694828,1.443534,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Cross-window consistency,0.776207,0.202497,2.096022,1.87211,0.776207,4.785388,1.476766,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Learned temporal pooling,0.757637,0.201897,2.080306,1.89124,0.757637,4.739688,1.46385,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Uncertainty-aware target context,0.749961,0.198575,2.074243,1.863236,0.749961,4.676969,1.447852,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Relative geometry attention bias,0.749679,0.190852,2.051891,1.875754,0.749679,4.660576,1.432463,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Kinematic motion stem,0.785164,0.198175,2.068197,1.942671,0.785164,4.70156,1.448078,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Endpoint refinement decoder,0.755898,0.196254,2.0582,1.867779,0.755898,4.64153,1.441044,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Lane topology graph,0.754238,0.200616,2.065051,1.903412,0.754238,4.696756,1.44329,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
Agent temporal Mamba,0.78019,0.212822,2.141835,1.993448,0.78019,4.973433,1.514158,Studies/SHARP/Architecture_Ablation/Runs/SHARP_AV2_20EPOCH_10TEST_20260805-031733/Summary.md,published suite summary; selection and other metrics may differ
